0  -nan  -nan
2.1888  9310.74  10464.6
2.1936  9360.97  10463.9
2.1984  9411.19  10463.2
2.2032  9461.41  10462.6
2.208  9511.63  10461.9
2.2128  9561.85  10461.2
2.2176  9612.06  10460.6
2.2224  9662.27  10459.9
2.2272  9712.47  10459.2
2.232  9762.68  10458.6
2.2368  9812.88  10457.9
2.2416  9863.07  10457.2
2.2464  9913.27  10456.6
2.2512  9963.46  10455.9
2.256  10013.6  10455.2
2.2608  10063.8  10454.5
2.2656  10114  10453.9
2.2704  10164.2  10453.2
2.2752  10214.4  10452.5
2.28  10264.5  10451.9
2.2848  10314.7  10451.2
2.2896  10364.9  10450.5
2.2944  10415  10449.9
2.2992  10465.2  10449.2
2.304  10515.3  10448.5
2.3088  10565.5  10447.9
2.3136  10615.6  10447.2
2.3184  10665.8  10446.5
2.3232  10715.9  10445.9
2.328  10766.1  10445.2
2.3328  10816.2  10444.5
2.3376  10866.3  10443.9
2.3424  10916.5  10443.2
2.3472  10966.6  10442.5
2.352  11016.7  10441.9
2.3568  11066.8  10441.2
2.3616  11116.9  10440.5
2.3664  11167.1  10439.9
2.3712  11217.2  10439.2
2.376  11267.3  10438.5
2.3808  11317.4  10437.9
2.3856  11367.5  10437.2
2.3904  11417.6  10436.5
2.3952  11467.7  10435.9
