#1:iter	2:slack	3:duration	4:alpha	5:eigenfrequency_2_wv_0	6:eigenfrequency_3_wv_0	7:eigenfrequency_4_wv_0	8:eigenfrequency_5_wv_0	9:youngsModulusE1_f_0	10:youngsModulusE1_f_1	11:homTensor_p11_m22_f_0	12:homTensor_p13_f_0	13:homTensor_p23_f_0	14:homTensor_p11_m22_f_1	15:homTensor_p13_f_1	16:homTensor_p23_f_1	17:volume	18:eigenfrequency_2_wv_1	19:eigenfrequency_3_wv_1	20:eigenfrequency_4_wv_1	21:eigenfrequency_5_wv_1	22:eigenfrequency_2_wv_2	23:eigenfrequency_3_wv_2	24:eigenfrequency_4_wv_2	25:eigenfrequency_5_wv_2	26:eigenfrequency_2_wv_3	27:eigenfrequency_3_wv_3	28:eigenfrequency_4_wv_3	29:eigenfrequency_5_wv_3	30:eigenfrequency_2_wv_4	31:eigenfrequency_3_wv_4	32:eigenfrequency_4_wv_4	33:eigenfrequency_5_wv_4	34:eigenfrequency_2_wv_5	35:eigenfrequency_3_wv_5	36:eigenfrequency_4_wv_5	37:eigenfrequency_5_wv_5	38:greyness	39:access_ greyness
21 	396.423 	0 	1885.05 	5.42742e-05 	1301.24 	1889.32 	2122.13 	0.886015 	0.668473 	-0.378997 	-0.00643953 	0.0075724 	-0.147634 	-0.00649258 	-0.00110805 	0.5 	639.996 	1132.47 	1949.22 	2289.33 	856.694 	1097.68 	2037.92 	2537.46 	963.524 	1210.04 	1933.95 	2630.76 	1217.06 	1494.19 	1948.32 	2555.42 	790.899 	1160.15 	1858.86 	2488.5 	0.0918475 	0.281123
22 	296.09 	0 	1801.71 	-1.65788e-07 	1372.9 	1964.04 	2088.42 	0.919234 	0.734021 	-0.118231 	-0.0032183 	0.00223885 	-0.0157772 	-0.00069491 	0.000768904 	0.5 	710.39 	1197.48 	2030.99 	2258.47 	951.731 	1168.46 	2156.88 	2487.18 	951.852 	1295.52 	2037.12 	2638.05 	1343.14 	1421.32 	2041 	2626.2 	832.249 	1151.89 	1951.79 	2504.02 	0.235697 	0.35587
23 	433.743 	0 	2108.7 	-2.05123e-07 	825.957 	1169.19 	1696.03 	0.372471 	0.400312 	-0.17782 	-0.00149668 	0.0345436 	-0.135481 	0.00917381 	0.0127824 	0.5 	446.823 	753.458 	1207.95 	1730.94 	655.877 	735.084 	1286.43 	1813.87 	706.544 	830.505 	1185.43 	1838.76 	912.112 	984.932 	1208.23 	1794.26 	605.294 	807.584 	1063.13 	1801.37 	0.115128 	0.322702
24 	303.022 	0 	1817.17 	5.59738e-05 	1386.06 	1993.59 	2108.19 	0.917986 	0.73621 	-0.114421 	-0.00290161 	0.00228549 	-0.0157614 	-0.000605216 	0.000780019 	0.5 	716.287 	1207.79 	2053.28 	2288.02 	954.817 	1179.88 	2182 	2516.78 	959.297 	1307.74 	2059.01 	2668.51 	1357.39 	1432.29 	2070.64 	2619.2 	839.941 	1160.67 	1975.56 	2537.79 	0.24557 	0.361867
25 	487.555 	0 	1791.99 	7.12624e-05 	1040.16 	1515.33 	1923.68 	0.500535 	0.672932 	-0.207923 	0.0122281 	0.0061719 	0.0799995 	-0.0083114 	0.00445796 	0.5 	517.117 	913.048 	1647.07 	1938.54 	747.943 	865.595 	1833.92 	1989.58 	754.876 	949.617 	1721.12 	2035.18 	996.254 	1101.56 	1686.99 	2064.5 	666.95 	835.226 	1599.95 	2024.09 	0.0880306 	0.336037
26 	368.435 	0 	1808.25 	5.74143e-05 	1316.08 	2031.56 	2094.12 	0.810808 	0.744077 	-0.11886 	-0.000456951 	0.00312624 	-0.00444328 	-0.00170038 	0.00144162 	0.5 	692.759 	1146.7 	2109.18 	2235.19 	964.963 	1088.68 	2226.75 	2456.68 	914.892 	1236.57 	2090.53 	2619.91 	1288.6 	1360.05 	2094.87 	2567.46 	810.164 	1087.25 	2005.28 	2518.66 	0.252786 	0.356755
27 	600.605 	1 	2155.85 	4.94821e-05 	1246.83 	2078.03 	2476.23 	0.922796 	0.604897 	-0.0131273 	-0.00662204 	-0.00964543 	-0.038274 	-0.00135907 	0.00439151 	0.5 	637.831 	1073.58 	2098.88 	2690.89 	887.292 	990.941 	2155.23 	3005.95 	837.826 	1084.81 	2194.94 	3053.2 	1117.43 	1169.56 	2263.34 	3093 	707.355 	1019.98 	2175.37 	2753.79 	0.118707 	0.247141
28 	471.562 	0 	1962.65 	-1.21295e-07 	1357.79 	2254.45 	2324.56 	0.927725 	0.731282 	-0.0680595 	-0.0025033 	0.000331328 	-0.00697789 	-0.00132544 	0.00208218 	0.5 	709.179 	1168.88 	2297.29 	2540.25 	981.178 	1096.86 	2391.27 	2863.8 	926.966 	1226.78 	2331.81 	3005.4 	1276.94 	1335.51 	2343.32 	2899.35 	807.022 	1109.06 	2255.42 	2768.66 	0.236031 	0.348244
29 	514.875 	0 	1938.41 	-1.07399e-07 	1385.72 	2311.22 	2396.47 	1.05211 	0.777237 	-0.0615378 	-0.000791086 	0.0021876 	-0.0125249 	-0.00171767 	-0.000259239 	0.5 	718.953 	1185.22 	2338.25 	2593.3 	967.548 	1139.21 	2444.46 	2718.32 	934.116 	1258.19 	2447 	2609.84 	1319.46 	1350.52 	2466.33 	2515.59 	829.735 	1114.7 	2366.23 	2621.04 	0.1439 	0.289233
30 	521.646 	0 	1895.79 	-1.20909e-08 	1348.34 	2353.95 	2377.95 	1.10181 	0.780253 	0.0215108 	0.00129194 	-0.0021663 	-0.00409671 	-0.00067161 	-0.00108442 	0.5 	709.866 	1164.82 	2407.36 	2583.03 	971.97 	1109.36 	2507.02 	2916.59 	900.419 	1220.9 	2479.94 	3027.37 	1261.62 	1284.68 	2488.1 	2924.38 	795.769 	1084.04 	2399.73 	2786.03 	0.140485 	0.284976
