#1:iterationCounter 	2:residualErr 	3:incrementalErr 	4:etaLineSearch
4	0.000273868	0.00132757	1
5	0.000264781	0.00125901	1
6	0.000256252	0.00119422	1
7	0.000248201	0.00113336	1
8	0.000240576	0.00107625	1
9	0.000233335	0.00102266	1
10	0.000226443	0.000972331	1
1	0.000268139	1	1
2	0.000253214	0.00111084	1
3	0.000245717	0.00107464	1
4	0.000239254	0.0010309	1
5	0.000233168	0.000987264	1
1	0.000221948	1	1
2	0.000215758	0.00084409	1
1	0.000178261	1	1
2	0.000173779	0.000576184	1
1	0.000144981	1	1
2	0.000135533	0.000310425	1
1	0.000136443	1	1
2	0.000123338	0.000254648	1
1	0.000189106	1	1
2	0.00017482	0.000754882	1
1	0.000297967	1	1
2	0.000282022	0.00142623	1
3	0.000271736	0.00138736	1
4	0.000262554	0.00134424	1
5	0.00025391	0.00130169	1
6	0.000245686	0.00126047	1
7	0.00023784	0.00122071	1
8	0.000230344	0.0011824	1
9	0.000223175	0.00114548	1
10	0.000216312	0.00110992	1
11	0.000209737	0.00107565	1
12	0.000203434	0.00104262	1
13	0.000197386	0.00101077	1
14	0.000191578	0.000980068	1
1	0.000331021	1	1
2	0.000316003	0.00166161	1
3	0.00030544	0.00161051	1
4	0.000295656	0.00155681	1
5	0.000286317	0.00150452	1
6	0.000277372	0.00145416	1
7	0.000268797	0.00140571	1
8	0.000260572	0.00135913	1
9	0.000252676	0.00131432	1
10	0.000245091	0.00127121	1
11	0.000237798	0.00122971	1
12	0.00023078	0.00118975	1
13	0.000224023	0.00115127	1
14	0.000217511	0.00111419	1
15	0.000211231	0.00107846	1
16	0.000205173	0.001044	1
17	0.000199324	0.00101078	1
18	0.000193674	0.000978725	1
1	0.000327274	1	1
2	0.000313843	0.00166413	1
3	0.000303109	0.00160334	1
4	0.0002929	0.00154266	1
5	0.000283102	0.00148436	1
6	0.000273701	0.00142852	1
7	0.000264683	0.00137502	1
8	0.000256028	0.00132376	1
9	0.000247714	0.00127461	1
10	0.000239722	0.00122746	1
11	0.000232035	0.00118222	1
12	0.000224635	0.00113879	1
13	0.000217508	0.00109708	1
14	0.000210638	0.00105703	1
15	0.000204015	0.00101854	1
16	0.000197624	0.000981552	1
1	0.000328252	1	1
2	0.000314393	0.00170826	1
3	0.000301884	0.00163047	1
4	0.000289944	0.00155655	1
5	0.000278564	0.00148655	1
6	0.000267726	0.00142012	1
7	0.0002574	0.00135697	1
8	0.000247551	0.00129689	1
9	0.000238147	0.0012397	1
10	0.000229158	0.00118523	1
11	0.000220559	0.00113333	1
12	0.000212326	0.00108385	1
13	0.000204436	0.00103667	1
14	0.000196872	0.000991662	1
1	0.000327469	1	1
2	0.000312145	0.00175227	1
3	0.000297059	0.00165286	1
4	0.000282743	0.00156224	1
5	0.000269255	0.00147773	1
6	0.000256554	0.0013984	1
7	0.000244576	0.00132373	1
8	0.000233263	0.00125339	1
9	0.000222563	0.00118706	1
10	0.000212429	0.00112448	1
11	0.000202821	0.00106541	1
12	0.0001937	0.00100962	1
13	0.000185035	0.000956907	1
1	0.000314705	1	1
2	0.000297912	0.00172655	1
3	0.000280403	0.00160614	1
4	0.000263932	0.0015005	1
5	0.000248615	0.0014035	1
6	0.00023437	0.00131355	1
7	0.0002211	0.00122987	1
8	0.000208714	0.00115191	1
9	0.000197132	0.00107922	1
10	0.000186285	0.00101138	1
11	0.000176112	0.000948042	1
1	0.00030853	1	1
2	0.000289511	0.00172202	1
3	0.000269132	0.0015774	1
4	0.000250162	0.00145488	1
5	0.000232756	0.00134414	1
6	0.000216783	0.00124278	1
7	0.000202095	0.00114966	1
8	0.000188557	0.00106395	1
9	0.000176056	0.000984991	1
1	0.000308815	1	1
2	0.000286679	0.00173517	1
3	0.000263093	0.00156382	1
4	0.000241396	0.0014231	1
5	0.000221749	0.00129786	1
6	0.000203951	0.00118472	1
7	0.000187787	0.0010821	1
8	0.000173074	0.00098884	1
1	0.000298532	1	1
2	0.000273498	0.00167535	1
3	0.000247753	0.00148372	1
4	0.000224384	0.00133153	1
5	0.000203494	0.00119819	1
