#1:iter	2:freq	3:reflectedWave	4:objective_0	5:objective_1	6:duration	7:slack	8:volume	9:physical_volume	10:plain_greyness	11:physical_greyness
86 	(mult) 	55.2519 	50.7962 	55.2519 	0.015 	50000 	0.21321 	0.213719 	0.551906 	0.610579
87 	(mult) 	48.0712 	57.8241 	48.0712 	0.015 	50000 	0.213719 	0.213782 	0.550821 	0.610407
88 	(mult) 	49.2482 	56.2747 	49.2482 	0.014 	50000 	0.213782 	0.213944 	0.549871 	0.610357
89 	(mult) 	48.9197 	56.3047 	48.9197 	0.016 	50000 	0.213944 	0.214171 	0.548867 	0.610362
90 	(mult) 	48.3287 	56.5658 	48.3287 	0.015 	50000 	0.214171 	0.214444 	0.547625 	0.61036
91 	(mult) 	47.6728 	56.8275 	47.6728 	0.015 	50000 	0.214444 	0.214826 	0.546341 	0.610535
92 	(mult) 	47.2813 	56.831 	47.2813 	0.015 	50000 	0.214826 	0.214817 	0.545036 	0.610302
93 	(mult) 	49.6604 	54.1126 	49.6604 	0.016 	50000 	0.214817 	0.215282 	0.543172 	0.610484
94 	(mult) 	49.7179 	53.7002 	49.7179 	0.015 	50000 	0.215282 	0.214445 	0.543983 	0.609609
95 	(mult) 	59.3101 	44.8042 	59.3101 	0.016 	50000 	0.214445 	0.215056 	0.543639 	0.610128
96 	(mult) 	49.4028 	53.9406 	49.4028 	0.015 	50000 	0.215056 	0.215143 	0.54194 	0.609863
97 	(mult) 	51.929 	51.0662 	51.929 	0.015 	50000 	0.215143 	0.215521 	0.541065 	0.609952
98 	(mult) 	46.3982 	56.5182 	46.3982 	0.014 	50000 	0.215521 	0.214877 	0.541517 	0.609135
99 	(mult) 	51.9277 	50.9994 	51.9277 	0.015 	50000 	0.214877 	0.215256 	0.540908 	0.609659
100 	(mult) 	49.5642 	53.2269 	49.5642 	0.015 	50000 	0.215256 	0.215328 	0.539794 	0.609412
