origElemNum,globCoord-x,globCoord-y,fluidMechStrainRate-real-xx,fluidMechStrainRate-real-yy,fluidMechStrainRate-real-xy,fluidMechStrainRate-imag-xx,fluidMechStrainRate-imag-yy,fluidMechStrainRate-imag-xy,locCoord-xi,locCoord-eta
28,0.00474,-2.00755e-19,-1.77407e-13,-0.0158975,4.42496,-7.38221e-13,-0.0799345,0.193288,1,0.181231
28,0.00475,-2.01265e-19,-1.76392e-13,-0.0163183,4.49181,-7.42547e-13,-0.084299,0.282619,1,0.171772
28,0.00476,-2.01774e-19,-1.75387e-13,-0.0167338,4.55852,-7.46877e-13,-0.0885466,0.371757,1,0.162313
28,0.00477,-4.04568e-19,-1.74169e-13,-0.0171442,4.6251,-7.51181e-13,-0.0926781,0.460702,1,0.152854
28,0.00478,-2.02794e-19,-1.73361e-13,-0.0175494,4.69156,-7.55532e-13,-0.0966944,0.549456,1,0.143395
28,0.00479,-2.03304e-19,-1.72352e-13,-0.0179497,4.75789,-7.59859e-13,-0.100596,0.638021,1,0.133936
28,0.0048,-2.03813e-19,-1.71332e-13,-0.0183449,4.8241,-7.64184e-13,-0.104385,0.726397,1,0.124477
28,0.00481,-2.04323e-19,-1.70315e-13,-0.0187351,4.89018,-7.68507e-13,-0.108061,0.814587,1,0.115018
28,0.00482,-4.09666e-19,-1.69083e-13,-0.0191203,4.95614,-7.72787e-13,-0.111625,0.902592,1,0.105559
28,0.00483,-2.05343e-19,-1.68278e-13,-0.0195007,5.02198,-7.77153e-13,-0.115078,0.990413,1,0.0961004
28,0.00484,-2.05852e-19,-1.67269e-13,-0.0198761,5.08769,-7.81481e-13,-0.118421,1.07805,1,0.0866414
28,0.00485,-2.06362e-19,-1.66258e-13,-0.0202468,5.15329,-7.8581e-13,-0.121655,1.16551,1,0.0771825
28,0.00486,-2.06872e-19,-1.65246e-13,-0.0206126,5.21876,-7.90139e-13,-0.12478,1.25279,1,0.0677235
28,0.00487,-2.07382e-19,-1.64237e-13,-0.0209737,5.28412,-7.94468e-13,-0.127798,1.33989,1,0.0582646
28,0.00488,-2.07891e-19,-1.63218e-13,-0.02133,5.34936,-7.98791e-13,-0.130709,1.42681,1,0.0488056
28,0.00489,-4.16802e-19,-1.61966e-13,-0.0216816,5.41448,-8.03045e-13,-0.133513,1.51355,1,0.0393466
28,0.0049,-2.08911e-19,-1.61186e-13,-0.0220286,5.47949,-8.0744e-13,-0.136213,1.60013,1,0.0298877
28,0.00491,-2.09421e-19,-1.60164e-13,-0.0223709,5.54438,-8.11761e-13,-0.138807,1.68652,1,0.0204287
28,0.00492,-4.19861e-19,-1.58912e-13,-0.0227086,5.60916,-8.16012e-13,-0.141298,1.77275,1,0.0109698
28,0.00493,-4.2088e-19,-1.57893e-13,-0.0230418,5.67382,-8.20334e-13,-0.143686,1.85881,1,0.00151082
28,0.00494,-2.1095e-19,-1.57129e-13,-0.0233704,5.73837,-8.24744e-13,-0.145972,1.94469,1,-0.00794814
28,0.00495,-2.1146e-19,-1.56122e-13,-0.0236945,5.80281,-8.29076e-13,-0.148156,2.03041,1,-0.0174071
28,0.00496,-2.11969e-19,-1.551e-13,-0.0240142,5.86714,-8.33397e-13,-0.150239,2.11596,1,-0.026866
28,0.00497,-2.12479e-19,-1.54086e-13,-0.0243294,5.93135,-8.37723e-13,-0.152222,2.20135,1,-0.036325
28,0.00498,0,-1.53335e-13,-0.0246403,5.99546,-8.42152e-13,-0.154105,2.28657,1,-0.045784
28,0.00499,-4.26997e-19,-1.51791e-13,-0.0249467,6.05946,-8.46268e-13,-0.15589,2.37162,1,-0.0552429
28,0.005,-4.28017e-19,-1.5077e-13,-0.0252489,6.12335,-8.50587e-13,-0.157577,2.45652,1,-0.0647019
28,0.00501,-2.14518e-19,-1.50029e-13,-0.0255467,6.18713,-8.55027e-13,-0.159167,2.54125,1,-0.0741608
28,0.00502,-2.15028e-19,-1.49015e-13,-0.0258402,6.25081,-8.59353e-13,-0.16066,2.62582,1,-0.0836198
28,0.00503,-4.31075e-19,-1.47723e-13,-0.0261295,6.31438,-8.63558e-13,-0.162057,2.71024,1,-0.0930787
28,0.00504,-4.32095e-19,-1.46706e-13,-0.0264146,6.37785,-8.6788e-13,-0.163359,2.79449,1,-0.102538
28,0.00505,-2.16557e-19,-1.45972e-13,-0.0266955,6.44121,-8.72331e-13,-0.164567,2.87859,1,-0.111997
28,0.00506,-2.17067e-19,-1.44958e-13,-0.0269722,6.50447,-8.76658e-13,-0.16568,2.96254,1,-0.121456
28,0.00507,-4.35153e-19,-1.43654e-13,-0.0272448,6.56763,-8.80848e-13,-0.166701,3.04633,1,-0.130915
28,0.00508,-4.36173e-19,-1.42637e-13,-0.0275133,6.63068,-8.8517e-13,-0.167629,3.12996,1,-0.140374
28,0.00509,-2.18596e-19,-1.41915e-13,-0.0277778,6.69363,-8.89636e-13,-0.168464,3.21345,1,-0.149832
28,0.0051,-2.19106e-19,-1.40901e-13,-0.0280381,6.75649,-8.93962e-13,-0.169209,3.29678,1,-0.159291
28,0.00511,-2.19616e-19,-1.3989e-13,-0.0282945,6.81924,-8.98293e-13,-0.169863,3.37996,1,-0.16875
28,0.00512,-2.20125e-19,-1.38876e-13,-0.0285469,6.88189,-9.02619e-13,-0.170427,3.46299,1,-0.178209
28,0.00513,-2.20635e-19,-1.37859e-13,-0.0287953,6.94445,-9.06941e-13,-0.170902,3.54588,1,-0.187668
28,0.00514,-2.21145e-19,-1.36845e-13,-0.0290398,7.00691,-9.11267e-13,-0.171287,3.62862,1,-0.197127
28,0.00515,-4.43309e-19,-1.35518e-13,-0.0292804,7.06927,-9.15428e-13,-0.171585,3.71121,1,-0.206586
28,0.00516,-2.22164e-19,-1.34811e-13,-0.0295172,7.13153,-9.19912e-13,-0.171795,3.79366,1,-0.216045
28,0.00517,-2.22674e-19,-1.33802e-13,-0.02975,7.1937,-9.24246e-13,-0.171918,3.87596,1,-0.225504
28,0.00518,-4.46368e-19,-1.32467e-13,-0.0299791,7.25577,-9.28394e-13,-0.171955,3.95812,1,-0.234963
28,0.00519,-4.47387e-19,-1.3145e-13,-0.0302043,7.31775,-9.32719e-13,-0.171906,4.04014,1,-0.244422
28,0.0052,-2.24203e-19,-1.30764e-13,-0.0304258,7.37963,-9.37232e-13,-0.171772,4.12201,1,-0.253881
28,0.00521,-2.24713e-19,-1.29745e-13,-0.0306435,7.44142,-9.41551e-13,-0.171553,4.20375,1,-0.26334
28,0.00522,-4.50445e-19,-1.28398e-13,-0.0308575,7.50312,-9.45689e-13,-0.17125,4.28534,1,-0.272799
28,0.00523,-2.25732e-19,-1.27713e-13,-0.0310678,7.56473,-9.50195e-13,-0.170864,4.3668,1,-0.282258
28,0.00524,-4.52484e-19,-1.26365e-13,-0.0312745,7.62624,-9.54332e-13,-0.170395,4.44812,1,-0.291717
28,0.00525,-3.40128e-19,-1.25517e-13,-0.0314775,7.68767,-9.5875e-13,-0.169844,4.52931,1,-0.301176
28,0.00526,-2.27262e-19,-1.24675e-13,-0.0316768,7.749,-9.63182e-13,-0.16921,4.61036,1,-0.310635
28,0.00527,-2.27771e-19,-1.23665e-13,-0.0318726,7.81024,-9.67517e-13,-0.168496,4.69127,1,-0.320094
