origElemNum,globCoord-x,globCoord-y,mechVelocity-real-x,mechVelocity-real-y,mechVelocity-imag-x,mechVelocity-imag-y,locCoord-xi,locCoord-eta
136,0.00951,-1.46957e-18,7.39243e-22,-2.17094e-08,-1.29595e-15,-0.756116,1,-0.183333
136,0.00952,-1.89143e-18,7.2925e-22,-2.12529e-08,-1.3286e-15,-0.756911,1,-0.2
136,0.00953,-1.47266e-18,7.20849e-22,-2.07969e-08,-1.29558e-15,-0.757706,1,-0.216667
136,0.00954,-1.47421e-18,7.11312e-22,-2.03416e-08,-1.29603e-15,-0.758502,1,-0.233333
136,0.00955,-1.47575e-18,7.01488e-22,-1.98867e-08,-1.29521e-15,-0.759297,1,-0.25
136,0.00956,-1.4773e-18,6.9143e-22,-1.94325e-08,-1.29575e-15,-0.760092,1,-0.266667
136,0.00957,-1.47884e-18,6.81154e-22,-1.89788e-08,-1.29497e-15,-0.760887,1,-0.283333
136,0.00958,-1.90335e-18,6.69773e-22,-1.85257e-08,-1.32732e-15,-0.761683,1,-0.3
136,0.00959,-1.48193e-18,6.59779e-22,-1.80731e-08,-1.29405e-15,-0.762478,1,-0.316667
136,0.0096,-1.90733e-18,6.47936e-22,-1.76211e-08,-1.32629e-15,-0.763273,1,-0.333333
136,0.00961,-1.48502e-18,6.37369e-22,-1.71696e-08,-1.29231e-15,-0.764068,1,-0.35
136,0.00962,-1.48657e-18,6.25833e-22,-1.67187e-08,-1.29209e-15,-0.764863,1,-0.366667
136,0.00963,-1.48811e-18,6.13985e-22,-1.62684e-08,-1.29074e-15,-0.765659,1,-0.383333
136,0.00964,-1.91528e-18,6.01244e-22,-1.58186e-08,-1.32333e-15,-0.766454,1,-0.4
136,0.00965,-1.4912e-18,5.89596e-22,-1.53694e-08,-1.2898e-15,-0.767249,1,-0.416667
136,0.00966,-1.49275e-18,5.77024e-22,-1.49207e-08,-1.28876e-15,-0.768044,1,-0.433333
136,0.00967,-1.49429e-18,5.64227e-22,-1.44727e-08,-1.28733e-15,-0.76884,1,-0.45
136,0.00968,-1.49584e-18,5.51126e-22,-1.40251e-08,-1.28646e-15,-0.769635,1,-0.466667
136,0.00969,-1.49738e-18,5.37812e-22,-1.35782e-08,-1.28505e-15,-0.77043,1,-0.483333
136,0.0097,-1.9272e-18,5.23665e-22,-1.31317e-08,-1.31762e-15,-0.771225,1,-0.5
136,0.00971,-1.92918e-18,5.09855e-22,-1.26859e-08,-1.31625e-15,-0.772021,1,-0.516667
136,0.00972,-1.93117e-18,4.95793e-22,-1.22406e-08,-1.3138e-15,-0.772816,1,-0.533333
136,0.00973,-1.50357e-18,4.81982e-22,-1.17959e-08,-1.2794e-15,-0.773611,1,-0.55
136,0.00974,-1.50511e-18,4.67409e-22,-1.13517e-08,-1.27763e-15,-0.774406,1,-0.566667
136,0.00975,-1.50666e-18,4.52564e-22,-1.09081e-08,-1.27605e-15,-0.775202,1,-0.583333
136,0.00976,-1.93912e-18,4.37024e-22,-1.04651e-08,-1.30734e-15,-0.775997,1,-0.6
136,0.00977,-1.50975e-18,4.22141e-22,-1.00226e-08,-1.27239e-15,-0.776792,1,-0.616667
136,0.00978,-1.51129e-18,4.06562e-22,-9.58064e-09,-1.27035e-15,-0.777588,1,-0.633333
136,0.00979,-1.72896e-18,3.90519e-22,-9.13927e-09,-1.28497e-15,-0.778383,1,-0.65
136,0.0098,-1.73072e-18,3.74428e-22,-8.69846e-09,-1.28245e-15,-0.779178,1,-0.666667
136,0.00981,-1.51593e-18,3.58278e-22,-8.25821e-09,-1.26418e-15,-0.779973,1,-0.683333
136,0.00982,-1.73426e-18,3.41518e-22,-7.81853e-09,-1.27853e-15,-0.780769,1,-0.7
136,0.00983,-1.51902e-18,3.24839e-22,-7.3794e-09,-1.25963e-15,-0.781564,1,-0.716667
136,0.00984,-1.73779e-18,3.07594e-22,-6.94084e-09,-1.27386e-15,-0.782359,1,-0.733333
136,0.00985,-1.52211e-18,2.90393e-22,-6.50283e-09,-1.25362e-15,-0.783155,1,-0.75
136,0.00986,-1.52365e-18,2.72805e-22,-6.06539e-09,-1.2521e-15,-0.78395,1,-0.766667
136,0.00987,-1.5252e-18,2.54953e-22,-5.6285e-09,-1.24949e-15,-0.784745,1,-0.783333
136,0.00988,-1.52675e-18,2.36845e-22,-5.19218e-09,-1.24687e-15,-0.785541,1,-0.8
136,0.00989,-1.52829e-18,2.18495e-22,-4.75642e-09,-1.24405e-15,-0.786336,1,-0.816667
136,0.0099,-1.52984e-18,1.9988e-22,-4.32121e-09,-1.24132e-15,-0.787131,1,-0.833333
136,0.00991,-1.75015e-18,1.80941e-22,-3.88657e-09,-1.25514e-15,-0.787926,1,-0.85
136,0.00992,-1.75192e-18,1.61846e-22,-3.45249e-09,-1.25274e-15,-0.788722,1,-0.866667
136,0.00993,-1.53447e-18,1.42556e-22,-3.01896e-09,-1.2311e-15,-0.789517,1,-0.883333
136,0.00994,-1.75545e-18,1.2289e-22,-2.586e-09,-1.24599e-15,-0.790312,1,-0.9
136,0.00995,-1.75721e-18,1.03039e-22,-2.1536e-09,-1.2434e-15,-0.791108,1,-0.916667
136,0.00996,-1.53911e-18,8.29689e-23,-1.72176e-09,-1.22269e-15,-0.791903,1,-0.933333
136,0.00997,-1.54065e-18,6.26038e-23,-1.29048e-09,-1.21803e-15,-0.792698,1,-0.95
136,0.00998,-1.5422e-18,4.19881e-23,-8.5976e-10,-1.21587e-15,-0.793494,1,-0.966667
136,0.00999,-1.54374e-18,2.11193e-23,-4.296e-10,-1.21236e-15,-0.794289,1,-0.983333
