#1:iter	2:slack	3:duration	4:youngsModulusE1	5:homTensor_p11_m22	6:homTensor_p13	7:homTensor_p23	8:eigenfrequency_1
106 	11965.1 	0.669 	0.33 	8.61517e-08 	-3.51415e-08 	-1.9643e-08 	11965.1
107 	11965.1 	0.612 	0.33 	2.63932e-07 	6.95411e-09 	8.83623e-09 	11965.1
108 	11965.1 	0.716 	0.33 	1.80548e-08 	1.43893e-08 	1.699e-08 	11965.1
109 	11965.1 	0.791 	0.33 	-6.73008e-08 	-1.55544e-08 	9.12047e-10 	11965.1
110 	11965.1 	0.769 	0.33 	-7.9841e-09 	-8.47736e-10 	7.9882e-10 	11965.1
111 	11965.1 	1.192 	0.33 	-1.23102e-08 	2.42232e-09 	5.84296e-09 	11965.1
112 	11965.1 	1.164 	0.33 	2.74577e-08 	2.82628e-09 	4.05333e-09 	11965.1
113 	11965.1 	1.235 	0.33 	-8.45118e-09 	2.02852e-09 	3.1981e-09 	11965.1
114 	11965.1 	0.683 	0.33 	1.21561e-09 	1.64808e-09 	1.32417e-09 	11965.1
115 	11965.1 	0.781 	0.33 	-9.69293e-09 	2.03791e-08 	1.82288e-08 	11965.1
116 	11965.1 	0.952 	0.33 	6.81161e-09 	3.43393e-09 	1.84998e-09 	11965.1
117 	11965.1 	0.808 	0.33 	4.05789e-09 	1.38885e-09 	7.49091e-10 	11965.1
118 	11965.1 	0.928 	0.33 	4.14355e-09 	9.44679e-10 	8.77014e-10 	11965.1
119 	11965.1 	0.8 	0.33 	5.86703e-09 	2.61092e-10 	5.19318e-10 	11965.1
120 	11965.1 	1.016 	0.33 	3.34691e-08 	2.42067e-09 	1.93759e-09 	11965.1
121 	11965.1 	0.781 	0.33 	1.53528e-09 	8.20512e-11 	-1.11915e-10 	11965.1
122 	11965.1 	0.814 	0.33 	6.72963e-09 	-1.32739e-10 	-1.27577e-09 	11965.1
123 	11965.1 	0.918 	0.33 	1.34783e-09 	-1.18616e-11 	-1.55466e-10 	11965.1
124 	11965.1 	0.796 	0.33 	1.23932e-09 	8.24205e-11 	-1.01034e-12 	11965.1
125 	11965.1 	0.852 	0.33 	4.34713e-11 	2.78186e-12 	6.42021e-12 	11965.1
126 	11965.1 	0.976 	0.33 	3.59679e-09 	1.04707e-09 	9.05463e-10 	11965.1
127 	11965.1 	1.036 	0.33 	3.49753e-10 	9.48916e-11 	8.48825e-11 	11965.1
128 	11965.1 	0.86 	0.33 	5.42306e-10 	7.15037e-11 	5.29735e-11 	11965.1
129 	11965.1 	1.024 	0.33 	-4.77045e-11 	1.17235e-11 	1.80888e-11 	11965.1
130 	11965.1 	0.922 	0.33 	-1.80128e-10 	2.3302e-11 	4.20449e-11 	11965.1
131 	11965.1 	1.158 	0.33 	-5.06621e-11 	1.03458e-11 	1.65754e-11 	11965.1
132 	11965.1 	1.032 	0.33 	-2.68248e-11 	-1.81068e-11 	-2.1049e-11 	11965.1
133 	11965.1 	1.102 	0.33 	4.20485e-11 	-1.0617e-11 	-9.3149e-12 	11965.1
